Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	60.007721
1	Clockticks	546720000000
1	Instructions Retired	345730000000
1	CPI Rate	1.581350
1	Retiring	18.8
2	Light Operations	13.9
3	FP Arithmetic	0.2
4	FP x87	0.0
4	FP Scalar	0.2
4	FP Vector	0.0
3	Memory Operations	7.0
3	Fused Instructions	1.4
3	Non Fused Branches	1.1
3	Nop Instructions	0.2
3	Other	4.0
2	Heavy Operations	4.9
3	Microcode Sequencer	2.8
4	Assists	0.0
4	CISC	2.8
1	Front-End Bound	28.8
2	Front-End Latency	48.8
3	ICache Misses	7.3
3	ITLB Overhead	5.6
3	Branch Resteers	25.3
4	Mispredicts Resteers	8.2
4	Clears Resteers	0.1
4	Unknown Branches	16.9
3	DSB Switches	1.6
3	Length Changing Prefixes	0.1
3	MS Switches	2.9
2	Front-End Bandwidth	0.0
3	Front-End Bandwidth MITE	9.6
3	Front-End Bandwidth DSB	1.2
3	(Info) DSB Coverage	20.9
3	(Info) DSB Misses Cost	0.0
1	Bad Speculation	6.7
2	Branch Mispredict	6.6
2	Machine Clears	0.1
1	Back-End Bound	45.7
2	Memory Bound	18.8
3	L1 Bound	9.9
4	DTLB Overhead	100.0
5	Load STLB Hit	100.0
5	Load STLB Miss	5.4
4	Loads Blocked by Store Forwarding	1.2
4	Lock Latency	0.1
4	Split Loads	0.1
4	4K Aliasing	0.2
4	FB Full	10.9
3	L2 Bound	1.5
3	L3 Bound	9.7
4	Contested Accesses	1.0
4	Data Sharing	0.4
4	L3 Latency	4.1
4	SQ Full	0.1
3	DRAM Bound	13.4
4	Memory Bandwidth	12.6
4	Memory Latency	31.4
3	Store Bound	0.5
4	Store Latency	6.9
4	False Sharing	0.2
4	Split Stores	0.0
4	DTLB Store Overhead	2.0
5	Store STLB Hit	1.2
5	Store STLB Hit	0.9
2	Core Bound	26.9
3	Divider	0.3
3	Port Utilization	49.8
4	Cycles of 0 Ports Utilized	34.9
5	Serializing Operations	13.1
5	Mixing Vectors	0.0
4	Cycles of 1 Port Utilized	12.9
4	Cycles of 2 Ports Utilized	11.1
4	Cycles of 3+ Ports Utilized	17.2
5	ALU Operation Utilization	13.4
6	Port 0	9.9
6	Port 1	10.6
6	Port 5	10.9
6	Port 6	22.4
5	Load Operation Utilization	12.4
6	Port 2	15.6
6	Port 3	16.3
5	Store Operation Utilization	15.4
6	Port 4	15.4
6	Port 7	8.4
4	Vector Capacity Usage (FPU)	14.9
1	Average CPU Frequency	2902851054.938938
1	Total Thread Count	789
1	Paused Time	0.0
0	Effective CPU Utilization	78.0
1	Average Effective CPU Utilization	3.119 out of 4
0	Collection and Platform Info	
1	Operating System	5.13.0-52-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1	Computer Name	d61b81b68c07
1	Result Size	264830527
1	Collection start time	07:12:51 14/07/2022 UTC
1	Collection stop time	07:13:51 14/07/2022 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) Processor code named Kabylake
2	Frequency	2496004841
2	Logical CPU Count	4
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
