Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	60.011374
1	Clockticks	505480000000
1	Instructions Retired	326860000000
1	CPI Rate	1.546472
1	Retiring	20.0
2	Light Operations	14.2
3	FP Arithmetic	0.1
4	FP x87	0.0
4	FP Scalar	0.0
4	FP Vector	0.0
3	Memory Operations	7.0
3	Fused Instructions	1.4
3	Non Fused Branches	1.1
3	Nop Instructions	0.2
3	Other	4.4
2	Heavy Operations	5.8
3	Microcode Sequencer	3.0
4	Assists	0.0
4	CISC	3.0
1	Front-End Bound	31.4
2	Front-End Latency	52.8
3	ICache Misses	7.6
3	ITLB Overhead	5.9
3	Branch Resteers	27.4
4	Mispredicts Resteers	8.9
4	Clears Resteers	0.1
4	Unknown Branches	18.4
3	DSB Switches	1.7
3	Length Changing Prefixes	0.1
3	MS Switches	3.1
2	Front-End Bandwidth	0.0
3	Front-End Bandwidth MITE	10.6
3	Front-End Bandwidth DSB	1.5
3	(Info) DSB Coverage	21.0
3	(Info) DSB Misses Cost	0.0
1	Bad Speculation	7.2
2	Branch Mispredict	7.1
2	Machine Clears	0.1
1	Back-End Bound	41.4
2	Memory Bound	16.5
3	L1 Bound	7.4
4	DTLB Overhead	100.0
5	Load STLB Hit	100.0
5	Load STLB Miss	5.8
4	Loads Blocked by Store Forwarding	1.3
4	Lock Latency	0.1
4	Split Loads	0.1
4	4K Aliasing	0.2
4	FB Full	10.9
3	L2 Bound	1.7
3	L3 Bound	10.6
4	Contested Accesses	1.0
4	Data Sharing	0.4
4	L3 Latency	4.3
4	SQ Full	0.1
3	DRAM Bound	12.7
4	Memory Bandwidth	13.0
4	Memory Latency	33.0
3	Store Bound	0.4
4	Store Latency	7.0
4	False Sharing	0.1
4	Split Stores	0.0
4	DTLB Store Overhead	2.0
5	Store STLB Hit	1.2
5	Store STLB Hit	0.9
2	Core Bound	24.9
3	Divider	0.3
3	Port Utilization	49.5
4	Cycles of 0 Ports Utilized	34.3
5	Serializing Operations	13.5
5	Mixing Vectors	0.0
4	Cycles of 1 Port Utilized	13.0
4	Cycles of 2 Ports Utilized	11.1
4	Cycles of 3+ Ports Utilized	18.0
5	ALU Operation Utilization	15.0
6	Port 0	11.2
6	Port 1	11.8
6	Port 5	12.2
6	Port 6	24.7
5	Load Operation Utilization	13.4
6	Port 2	17.0
6	Port 3	17.9
5	Store Operation Utilization	16.8
6	Port 4	16.8
6	Port 7	8.9
4	Vector Capacity Usage (FPU)	16.3
1	Average CPU Frequency	2687900910.303509
1	Total Thread Count	636
1	Paused Time	0.0
0	Effective CPU Utilization	77.8
1	Average Effective CPU Utilization	3.113 out of 4
0	Collection and Platform Info	
1	Operating System	5.13.0-52-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1	Computer Name	d61b81b68c07
1	Result Size	248534688
1	Collection start time	07:10:18 14/07/2022 UTC
1	Collection stop time	07:11:18 14/07/2022 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) Processor code named Kabylake
2	Frequency	2496004843
2	Logical CPU Count	4
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
