Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	59.977173
1	Clockticks	526185000000
1	Instructions Retired	329595000000
1	CPI Rate	1.596459
1	Retiring	19.4
2	Light Operations	13.6
3	FP Arithmetic	0.2
4	FP x87	0.0
4	FP Scalar	0.2
4	FP Vector	0.0
3	Memory Operations	6.9
3	Fused Instructions	1.5
3	Non Fused Branches	1.0
3	Nop Instructions	0.2
3	Other	3.8
2	Heavy Operations	5.8
3	Microcode Sequencer	4.2
4	Assists	0.0
4	CISC	4.2
1	Front-End Bound	29.1
2	Front-End Latency	59.3
3	ICache Misses	10.4
3	ITLB Overhead	7.0
3	Branch Resteers	27.3
4	Mispredicts Resteers	9.9
4	Clears Resteers	0.1
4	Unknown Branches	17.3
3	DSB Switches	1.4
3	Length Changing Prefixes	0.4
3	MS Switches	3.8
2	Front-End Bandwidth	0.0
3	Front-End Bandwidth MITE	16.2
3	Front-End Bandwidth DSB	2.6
3	(Info) DSB Coverage	22.8
3	(Info) DSB Misses Cost	0.0
1	Bad Speculation	6.3
2	Branch Mispredict	6.2
2	Machine Clears	0.1
1	Back-End Bound	45.2
2	Memory Bound	17.8
3	L1 Bound	2.1
4	DTLB Overhead	100.0
5	Load STLB Hit	100.0
5	Load STLB Miss	6.0
4	Loads Blocked by Store Forwarding	1.2
4	Lock Latency	0.0
4	Split Loads	0.1
4	4K Aliasing	0.3
4	FB Full	8.1
3	L2 Bound	3.6
3	L3 Bound	11.9
4	Contested Accesses	1.0
4	Data Sharing	0.4
4	L3 Latency	4.4
4	SQ Full	0.1
3	DRAM Bound	14.2
4	Memory Bandwidth	12.3
4	Memory Latency	32.5
3	Store Bound	0.4
4	Store Latency	6.9
4	False Sharing	0.1
4	Split Stores	0.1
4	DTLB Store Overhead	2.2
5	Store STLB Hit	1.3
5	Store STLB Hit	0.9
2	Core Bound	27.4
3	Divider	0.2
3	Port Utilization	49.9
4	Cycles of 0 Ports Utilized	35.0
5	Serializing Operations	14.6
5	Mixing Vectors	0.0
4	Cycles of 1 Port Utilized	12.8
4	Cycles of 2 Ports Utilized	10.8
4	Cycles of 3+ Ports Utilized	20.0
5	ALU Operation Utilization	17.4
6	Port 0	13.6
6	Port 1	14.3
6	Port 5	13.8
6	Port 6	28.0
5	Load Operation Utilization	15.9
6	Port 2	20.1
6	Port 3	21.3
5	Store Operation Utilization	19.9
6	Port 4	19.9
6	Port 7	10.3
4	Vector Capacity Usage (FPU)	15.1
1	Average CPU Frequency	2878077516.534446
1	Total Thread Count	601
1	Paused Time	0.0
0	Effective CPU Utilization	75.7
1	Average Effective CPU Utilization	3.028 out of 4
0	Collection and Platform Info	
1	Operating System	5.13.0-52-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1	Computer Name	d61b81b68c07
1	Result Size	250196074
1	Collection start time	07:15:19 14/07/2022 UTC
1	Collection stop time	07:16:19 14/07/2022 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) Processor code named Kabylake
2	Frequency	2496004843
2	Logical CPU Count	4
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
