Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	60.003103
1	Clockticks	533595000000
1	Instructions Retired	331472500000
1	CPI Rate	1.609772
1	Retiring	18.9
2	Light Operations	13.6
3	FP Arithmetic	0.1
4	FP x87	0.0
4	FP Scalar	0.1
4	FP Vector	0.0
3	Memory Operations	6.9
3	Fused Instructions	1.4
3	Non Fused Branches	1.1
3	Nop Instructions	0.2
3	Other	3.9
2	Heavy Operations	5.3
3	Microcode Sequencer	3.0
4	Assists	0.0
4	CISC	3.0
1	Front-End Bound	29.8
2	Front-End Latency	49.6
3	ICache Misses	7.0
3	ITLB Overhead	5.5
3	Branch Resteers	26.5
4	Mispredicts Resteers	8.4
4	Clears Resteers	0.1
4	Unknown Branches	17.9
3	DSB Switches	1.6
3	Length Changing Prefixes	0.1
3	MS Switches	3.1
2	Front-End Bandwidth	0.0
3	Front-End Bandwidth MITE	9.6
3	Front-End Bandwidth DSB	1.2
3	(Info) DSB Coverage	19.8
3	(Info) DSB Misses Cost	0.0
1	Bad Speculation	7.1
2	Branch Mispredict	7.0
2	Machine Clears	0.1
1	Back-End Bound	44.2
2	Memory Bound	17.4
3	L1 Bound	8.3
4	DTLB Overhead	100.0
5	Load STLB Hit	100.0
5	Load STLB Miss	5.6
4	Loads Blocked by Store Forwarding	1.1
4	Lock Latency	0.1
4	Split Loads	0.1
4	4K Aliasing	0.2
4	FB Full	9.5
3	L2 Bound	1.5
3	L3 Bound	10.3
4	Contested Accesses	1.1
4	Data Sharing	0.4
4	L3 Latency	4.1
4	SQ Full	0.1
3	DRAM Bound	12.1
4	Memory Bandwidth	12.1
4	Memory Latency	30.5
3	Store Bound	0.4
4	Store Latency	6.5
4	False Sharing	0.2
4	Split Stores	0.0
4	DTLB Store Overhead	2.0
5	Store STLB Hit	1.2
5	Store STLB Hit	0.8
2	Core Bound	26.8
3	Divider	0.3
3	Port Utilization	50.0
4	Cycles of 0 Ports Utilized	35.2
5	Serializing Operations	14.5
5	Mixing Vectors	0.0
4	Cycles of 1 Port Utilized	12.8
4	Cycles of 2 Ports Utilized	10.9
4	Cycles of 3+ Ports Utilized	17.3
5	ALU Operation Utilization	14.0
6	Port 0	10.1
6	Port 1	10.8
6	Port 5	11.4
6	Port 6	23.6
5	Load Operation Utilization	12.7
6	Port 2	16.0
6	Port 3	16.7
5	Store Operation Utilization	15.9
6	Port 4	15.9
6	Port 7	8.6
4	Vector Capacity Usage (FPU)	16.4
1	Average CPU Frequency	2935817665.529171
1	Total Thread Count	654
1	Paused Time	0.0
0	Effective CPU Utilization	75.2
1	Average Effective CPU Utilization	3.009 out of 4
0	Collection and Platform Info	
1	Operating System	5.13.0-52-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1	Computer Name	d61b81b68c07
1	Result Size	252863335
1	Collection start time	07:18:07 14/07/2022 UTC
1	Collection stop time	07:19:07 14/07/2022 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) Processor code named Kabylake
2	Frequency	2496004840
2	Logical CPU Count	4
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
