Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	59.999819
1	Clockticks	522510000000
1	Instructions Retired	332815000000
1	CPI Rate	1.569971
1	Retiring	19.3
2	Light Operations	14.1
3	FP Arithmetic	0.2
4	FP x87	0.0
4	FP Scalar	0.1
4	FP Vector	0.0
3	Memory Operations	7.0
3	Fused Instructions	1.4
3	Non Fused Branches	1.2
3	Nop Instructions	0.2
3	Other	4.2
2	Heavy Operations	5.3
3	Microcode Sequencer	2.8
4	Assists	0.0
4	CISC	2.8
1	Front-End Bound	30.2
2	Front-End Latency	52.4
3	ICache Misses	7.6
3	ITLB Overhead	5.7
3	Branch Resteers	26.2
4	Mispredicts Resteers	8.6
4	Clears Resteers	0.1
4	Unknown Branches	17.4
3	DSB Switches	1.7
3	Length Changing Prefixes	0.1
3	MS Switches	2.8
2	Front-End Bandwidth	0.0
3	Front-End Bandwidth MITE	10.6
3	Front-End Bandwidth DSB	1.4
3	(Info) DSB Coverage	20.9
3	(Info) DSB Misses Cost	0.0
1	Bad Speculation	7.1
2	Branch Mispredict	7.0
2	Machine Clears	0.1
1	Back-End Bound	43.4
2	Memory Bound	17.9
3	L1 Bound	8.9
4	DTLB Overhead	100.0
5	Load STLB Hit	100.0
5	Load STLB Miss	5.6
4	Loads Blocked by Store Forwarding	1.3
4	Lock Latency	0.0
4	Split Loads	0.1
4	4K Aliasing	0.3
4	FB Full	10.1
3	L2 Bound	1.7
3	L3 Bound	10.0
4	Contested Accesses	1.0
4	Data Sharing	0.4
4	L3 Latency	4.5
4	SQ Full	0.1
3	DRAM Bound	13.7
4	Memory Bandwidth	14.1
4	Memory Latency	34.9
3	Store Bound	0.4
4	Store Latency	7.5
4	False Sharing	0.1
4	Split Stores	0.1
4	DTLB Store Overhead	2.0
5	Store STLB Hit	1.1
5	Store STLB Hit	0.9
2	Core Bound	25.5
3	Divider	0.3
3	Port Utilization	49.4
4	Cycles of 0 Ports Utilized	34.3
5	Serializing Operations	11.8
5	Mixing Vectors	0.0
4	Cycles of 1 Port Utilized	12.9
4	Cycles of 2 Ports Utilized	11.4
4	Cycles of 3+ Ports Utilized	16.7
5	ALU Operation Utilization	12.9
6	Port 0	9.3
6	Port 1	9.9
6	Port 5	10.4
6	Port 6	21.8
5	Load Operation Utilization	11.7
6	Port 2	14.6
6	Port 3	15.4
5	Store Operation Utilization	14.6
6	Port 4	14.6
6	Port 7	8.1
4	Vector Capacity Usage (FPU)	15.3
1	Average CPU Frequency	2754239508.539153
1	Total Thread Count	822
1	Paused Time	0.0
0	Effective CPU Utilization	78.6
1	Average Effective CPU Utilization	3.143 out of 4
0	Collection and Platform Info	
1	Operating System	5.13.0-52-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1	Computer Name	d61b81b68c07
1	Result Size	258576478
1	Collection start time	07:05:14 14/07/2022 UTC
1	Collection stop time	07:06:14 14/07/2022 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) Processor code named Kabylake
2	Frequency	2496004846
2	Logical CPU Count	4
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
