Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	60.000234
1	Clockticks	304047500000
1	Instructions Retired	323540000000
1	CPI Rate	0.939752
1	Retiring	25.0
2	Light Operations	21.9
3	FP Arithmetic	0.0
4	FP x87	0.0
4	FP Scalar	0.0
4	FP Vector	0.0
3	Memory Operations	7.8
3	Fused Instructions	4.1
3	Non Fused Branches	0.7
3	Nop Instructions	0.2
3	Other	8.9
2	Heavy Operations	3.1
3	Microcode Sequencer	2.0
4	Assists	0.0
4	CISC	2.0
1	Front-End Bound	41.5
2	Front-End Latency	34.1
3	ICache Misses	4.9
3	ITLB Overhead	4.7
3	Branch Resteers	20.2
4	Mispredicts Resteers	8.5
4	Clears Resteers	0.0
4	Unknown Branches	11.7
3	DSB Switches	1.6
3	Length Changing Prefixes	0.2
3	MS Switches	2.2
2	Front-End Bandwidth	7.4
3	Front-End Bandwidth MITE	13.3
3	Front-End Bandwidth DSB	1.4
3	(Info) DSB Coverage	24.9
3	(Info) DSB Misses Cost	8.3
1	Bad Speculation	11.7
2	Branch Mispredict	11.6
2	Machine Clears	0.0
1	Back-End Bound	21.8
2	Memory Bound	8.3
3	L1 Bound	9.4
4	DTLB Overhead	100.0
5	Load STLB Hit	100.0
5	Load STLB Miss	6.4
4	Loads Blocked by Store Forwarding	0.5
4	Lock Latency	0.1
4	Split Loads	0.0
4	4K Aliasing	0.4
4	FB Full	7.2
3	L2 Bound	1.4
3	L3 Bound	9.7
4	Contested Accesses	0.7
4	Data Sharing	0.2
4	L3 Latency	3.1
4	SQ Full	0.0
3	DRAM Bound	5.2
4	Memory Bandwidth	8.2
4	Memory Latency	22.6
3	Store Bound	0.4
4	Store Latency	6.8
4	False Sharing	0.1
4	Split Stores	0.0
4	DTLB Store Overhead	1.3
5	Store STLB Hit	0.7
5	Store STLB Hit	0.6
2	Core Bound	13.5
3	Divider	0.1
3	Port Utilization	42.3
4	Cycles of 0 Ports Utilized	24.4
5	Serializing Operations	6.3
5	Mixing Vectors	100.0
4	Cycles of 1 Port Utilized	14.3
4	Cycles of 2 Ports Utilized	14.7
4	Cycles of 3+ Ports Utilized	21.8
5	ALU Operation Utilization	17.6
6	Port 0	15.4
6	Port 1	13.4
6	Port 5	14.0
6	Port 6	27.6
5	Load Operation Utilization	18.1
6	Port 2	21.5
6	Port 3	21.9
5	Store Operation Utilization	16.4
6	Port 4	16.4
6	Port 7	9.2
4	Vector Capacity Usage (FPU)	0.0
1	Average CPU Frequency	2140124030.647956
1	Total Thread Count	309
1	Paused Time	0.0
0	Effective CPU Utilization	59.0
1	Average Effective CPU Utilization	2.361 out of 4
0	Collection and Platform Info	
1	Operating System	5.13.0-52-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1	Computer Name	00cef8adfab0
1	Result Size	175042544
1	Collection start time	06:55:47 14/07/2022 UTC
1	Collection stop time	06:56:47 14/07/2022 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) Processor code named Kabylake
2	Frequency	2496004842
2	Logical CPU Count	4
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
